index,chemicalFormula Clean,Band gap values Clean,Band gap units,Band gap method,Reliability
303,V2O3,0.1,eV,Absorption,1
304,V2O5,2.34,eV,Absorption,1
305,V1O2,0.65,eV,Absorption,1
306,V2O4,0.66,eV,Absorption,1
307,V5O9,0.15,eV,Thermal activation,1
308,V4O7,0.8,eV,Thermal activation,1
309,V2O5,2.49,eV,Absorption,2
310,V2O5,2.54,eV,Absorption,2
311,V2O5,2.3,eV,Absorption,2
312,V2O5,2.36,eV,Absorption,2
313,V1O2,0.4,eV,Absorption,2
314,V2O5,2.32,eV,Absorption,2
315,V1O2,0.12,eV,,2
316,V2O5,1.95,eV,Thermal activation,2
317,Cr2O3,1.68,eV,Thermal activation,1
318,Cr1O2,0.23,eV,Absorption,1
319,Cr2O3,1.59,eV,Thermal activation,2
320,Cr2O3,1.0,eV,,2
321,Cr2O3,1.62,eV,Reflection,2
322,Cr1Si2,0.35,eV,Thermal activation,1
323,Cr2S3,0.9,eV,Thermal activation,1
324,Cr3Se4,0.015,eV,Thermal activation,1
325,Cr2Se3,0.025,eV,Thermal activation,1
326,Cr3Se4,0.015,eV,Thermal activation,2
327,Cr2Se3,0.15,eV,Thermal activation,2
328,Cr1Sb1,0.2,eV,Thermal activation,1
329,CrTe,0.02,eV,Thermal activation,1
330,Mn1O2,0.26,eV,Thermal activation,1
331,Mn1O1,3.7,eV,Absorption,1
332,Mn1O1,1.84,eV,Thermal activation,2
333,Mn1O1,2.6,eV,Thermal activation,2
334,Mn1O2,0.28,eV,Thermal activation,2
335,Mn1O2,0.7,eV,Thermal activation,2
336,Mn1O1,2.2,eV,Thermal activation,2
337,Mn1F2,9.9,eV,Absorption,1
338,Mn1F2,10.2,eV,Absorption,1
339,Mn1F2,10.24,eV,Absorption,2
340,Mn1Al3,0.58,eV,Thermal activation,1
341,MnSi,0.6,eV,Thermal activation,1
342,MnSi,0.8,eV,,2
343,Mn1S1,6.2,eV,Reflection,1
344,Mn1S1,6.0,eV,Reflection,2
345,Mn1Se2,0.2,eV,Thermal activation,1
346,Mn1Se1,1.8,eV,Reflection,1
347,Mn1Te1,1.25,eV,Reflection,1
348,Mn1Te2,0.48,eV,Thermal activation,1
349,Mn1Te1,1.35,eV,Reflection,2
350,Mn1Te9,2.0,eV,Thermal activation,2
351,Mn1I2,4.04,eV,Absorption,1
352,Mn1I2,4.4,eV,Absorption,2
353,Fe2O3,2.34,eV,Thermal activation,1
354,Fe2O3,1.06,eV,Thermal activation,2
355,Fe2O3,2.2,eV,Reflection,2
356,Fe1Si2,0.9,eV,,1
357,Fe1Si1,0.1,eV,Thermal activation,1
358,Fe1Si2,0.85,eV,,2
359,Fe1Si2,0.88,eV,,2
360,Fe1P2,0.4,eV,Thermal activation,1
361,Fe1S2,1.2,eV,Thermal activation,1
362,Fe1As2,0.2,eV,Thermal activation,1
363,Fe1As2,0.2,eV,Thermal activation,2
364,Fe1Sc2,0.77,eV,Thermal activation,1
365,Fe1Se2,0.5,eV,Thermal activation,2
366,Fe1Sb2,0.17,eV,Thermal activation,1
367,Fe1Sb2,0.05,eV,Thermal activation,2
368,Fe2Te3,0.6,eV,Absorption,1
369,Fe1Te2,0.46,eV,Thermal activation,1
370,Fe2Te3,0.34,eV,,2
371,Fe1I2,5.15,eV,Absorption,1
372,Co1O1,0.47,eV,Thermal activation,1
373,Co1O1,0.73,eV,Thermal activation,2
374,Co1O1,0.125,eV,Thermal activation,2
377,Co1Si1,0.045,eV,,1
378,Co1As2,0.15,eV,Thermal activation,1
379,Co1As3,0.25,eV,Thermal activation,1
380,Co1Te1.88,0.2,eV,Absorption,1
381,Ni1O1,3.7,eV,Electroreflection,1
382,Ni1O1,0.92,eV,Thermal activation,2
383,Ni1O1,4.0,eV,Reflection,2
384,Ni1O1,3.7,eV,Thermal activation,2
385,Ni1P2,0.5,eV,Thermal activation,1
386,Ni1S1,0.12,eV,Thermal activation,1
387,Ni1S2,0.5,eV,Thermal activation,1
388,Ni1S1,0.01,eV,Thermal activation,2
389,Ni1As2,0.05,eV,,1
390,NiTe,0.23,eV,Thermal activation,1
391,Cu1N3,4.17,eV,Absorption,1
392,Cu1N3,4.96,eV,Absorption,2
393,Cu2O1,2.023,eV,Electroreflection,1
394,Cu2O1,2.17,eV,Reflection,2
395,Cu2O1,2.58,eV,Reflection,2
396,Cu2O1,2.59,eV,Electroreflection,2
397,Cu2O1,2.02,eV,Reflection,2
398,Cu2O1,2.02,eV,Reflection,2
399,Cu2O1,2.67,eV,Reflection,2
400,Cu1P2,1.4,eV,Absorption,1
401,Cu1P2,1.51,eV,Absorption,2
402,Cu2S1,1.21,eV,Reflection,1
403,Cu2S1,1.93,eV,Reflection,2
404,Cu2S1,1.7,eV,Absorption,2
405,Cu2S1,1.8,eV,Thermal activation,2
406,Cu2S1,1.84,eV,Photoconduction,2
407,Cu2S1,1.93,eV,Reflection,2
408,Cu2S1,1.26,eV,Reflection,2
409,Cu2S1,1.05,eV,Absorption,2
410,Cu1Cl1,3.306,eV,Absorption,1
411,Cu2Se1,1.23,eV,Reflection,1
412,Cu2Se1,1.23,eV,Reflection,2
413,Cu2Se1,1.29,eV,Photoconduction,2
414,Cu2Se1,1.3,eV,Absorption,2
415,Cu1Br1,2.987,eV,Absorption,1
416,Cu1Br1,3.02,eV,Photoconduction,2
417,Cu2Te1,1.08,eV,Absorption,1
418,Cu2Te1,1.15,eV,Absorption,2
419,Cu2Te1,1.02,eV,Photoconduction,2
420,Cu2Te1,1.04,eV,Reflection,2
421,Cu2Te1,1.04,eV,Reflection,2
422,Cu1I1,3.07,eV,Estimated,1
423,Cu1I1,3.0469999999999997,eV,Absorption,2
424,Zn1O1,3.35,eV,Reflection,1
425,Zn1O1,3.435,eV,Reflection,2
426,Zn1O1,3.26,eV,,2
427,Zn1O1,3.31,eV,Electroreflection,2
428,Zn1O1,3.418,eV,Reflection,2
429,Zn1P2,1.65,eV,,1
430,Zn1P2,1.85,eV,,1
431,Zn1P2,2.18,eV,,1
432,Zn3P2,1.15,eV,Reflection,1
433,Zn1P2,2.03,eV,Absorption,1
434,Zn1S1,3.87,eV,Reflection,1
435,Zn1S1,3.68,eV,Absorption,2
436,Zn1S1,3.69,eV,Absorption,2
437,Zn1S1,3.7039999999999997,eV,Absorption,2
438,Zn1S1,3.73,eV,Absorption,2
439,Zn1S1,3.88,eV,Reflection,2
440,Zn1S1,3.82,eV,,2
441,Zn1As2,0.9,eV,Absorption,1
442,Zn3As2,0.93,eV,Absorption,1
443,Zn3As2,0.86,eV,,2
444,Zn1As2,0.93,eV,Absorption,2
445,Zn3As2,0.51,eV,Absorption,2
446,Zn1As2,1.3,eV,,2
447,Zn1Se1,2.67,eV,Reflection,1
448,Zn1Se1,2.8739999999999997,eV,Absorption,2
449,Zn1Se1,2.81,eV,Reflection,2
450,Zn1Se1,2.68,eV,,2
451,Zn1Se1,2.795,eV,Photoconduction,2
452,Zn1Se1,2.76,eV,,2
453,Zn1Sb1,0.5,eV,Absorption,1
454,Zn1Sb1,0.99,eV,Absorption,1
455,Zn3Sb2,0.22,eV,Absorption,1
456,Zn4Sb3,1.2,eV,Absorption,1
457,Zn1Sb1,0.508,eV,Absorption,2
458,Zn1Sb1,0.603,eV,Absorption,2
459,Zn1Sb1,0.606,eV,Absorption,2
460,Zn1Sb1,0.61,eV,Absorption,2
461,Zn1Sb1,0.61,eV,Absorption,2
462,Zn1Sb1,1.05,eV,Absorption,2
463,Zn1Sb1,1.09,eV,Absorption,2
464,Zn1Sb1,1.11,eV,Absorption,2
465,Zn1Sb1,0.59,eV,Absorption,2
466,Zn1Sb1,0.59,eV,Absorption,2
467,Zn1Sb1,0.53,eV,Absorption,2
468,Zn1Sb1,0.48,eV,Absorption,2
469,Zn1Sb1,0.514,eV,Absorption,2
470,Zn3Sb2,0.2,eV,Thermal activation,2
471,Zn1Sb1,0.5,eV,Absorption,2
472,Zn1Te1,2.25,eV,Absorption,1
473,Zn1Te1,2.385,eV,Absorption,2
474,Zn1Te1,2.29,eV,Reflection,2
475,Zn1Te1,2.35,eV,Reflection,2
476,Zn1Te1,2.372,eV,,2
477,Zn1Te1,2.37,eV,Absorption,2
478,Zn1Te1,2.34,eV,,2
479,Zn1Te1,2.281,eV,,2
480,Zn1Te1,2.176,eV,Reflection,2
481,Zn1Te1,2.23,eV,Absorption,2
482,Zn1Te1,2.255,eV,Reflection,2
483,Zn1Te1,2.35,eV,Reflection,2
484,Zn1Te1,2.29,eV,,2
485,Zn1I2,4.53,eV,Absorption,1
486,Ga1N1,3.24,eV,Absorption,1
487,Ga1N1,3.25,eV,Absorption,2
488,Ga1N1,3.39,eV,Absorption,2
489,Ga1N1,3.8,eV,Reflection,2
490,Ga2O3,4.54,eV,Absorption,1
491,Ga2O3,4.4,eV,Absorption,2
492,Ga1P1,2.22,eV,Absorption,1
493,Ga1P1,2.78,eV,Absorption,1
494,Ga1P1,2.235,eV,Absorption,2
495,Ga1P1,2.895,eV,Photoconduction,2
496,Ga1P1,2.78,eV,Absorption,2
497,Ga1P1,2.2230000000000003,eV,Absorption,2
498,Ga1P1,2.75,eV,Electroreflection,2
499,Ga1S1,2.5,eV,Absorption,1
500,Ga2S3,3.59,eV,,1
501,Ga1S1,2.591,eV,Absorption,2
502,Ga1S1,2.62,eV,Absorption,2
503,Ga1S1,2.7,eV,,2
504,Ga1S1,2.58,eV,Absorption,2
505,Ga1S1,2.38,eV,Photoconduction,2
506,Ga1S1,2.5,eV,Reflection,2
507,Ga1S1,2.52,eV,Absorption,2
508,Ga1S1,2.53,eV,Absorption,2
509,Ga1S1,2.84,eV,,2
510,Ga2S3,2.85,eV,Absorption,2
511,Ga1As1,1.42,eV,Reflection,1
512,Ga1As1,1.46,eV,,2
513,Ga1As1,1.521,eV,Absorption,2
514,Ga1As1,1.518,eV,Absorption,2
515,Ga1As1,1.507,eV,,2
516,Ga1As1,1.51,eV,Absorption,2
517,Ga1As1,1.511,eV,Absorption,2
518,Ga1As1,1.479,eV,Absorption,2
519,Ga1As1,1.43,eV,Absorption,2
520,Ga1As1,1.37,eV,Absorption,2
521,Ga1As1,1.62,eV,Absorption,2
522,Ga1As1,1.35,eV,Absorption,2
523,Ga1As1,1.253,eV,Absorption,2
524,Ga1As1,1.147,eV,Absorption,2
525,Ga1As1,1.09,eV,Absorption,2
526,Ga1As1,1.33,eV,,2
527,Ga1As1,1.435,eV,Absorption,2
528,Ga1Se1,1.98,eV,Absorption,1
529,Ga1Se1,2.12,eV,Absorption,1
530,Ga2Se3,2.05,eV,Absorption,1
531,Ga1Se1,2.2,eV,,2
532,Ga1Se1,2.1319999999999997,eV,Magnetoabsorption,2
533,Ga1Se1,2.065,eV,Absorption,2
534,Ga1Se1,2.07,eV,,2
535,Ga1Se1,2.109,eV,Electroreflection,2
536,Ga1Se1,2.117,eV,Absorption,2
537,Ga1Se1,2.12,eV,Absorption,2
538,Ga1Se1,2.169,eV,Absorption,2
539,Ga1Se1,1.93,eV,Photoconduction,2
540,Ga1Se1,1.97,eV,Absorption,2
541,Ga1Se1,1.97,eV,Absorption,2
542,Ga1Se1,2.01,eV,Thermal activation,2
543,Ga1Se1,2.1,eV,Reflection,2
544,Ga2Se3,2.3,eV,,2
545,Ga2Se3,1.86,eV,Thermal activation,2
546,Ga1Sb1,0.725,eV,Absorption,1
547,Ga1Sb1,0.773,eV,,2
548,Ga1Sb1,0.812,eV,Absorption,2
549,Ga1Sb1,0.813,eV,Absorption,2
550,Ga1Sb1,0.725,eV,Absorption,2
551,Ga1Sb1,0.81,eV,,2
552,Ga1Te1,1.42,eV,Absorption,1
553,Ga2Te3,1.13,eV,Reflection,1
554,Ga2Te3,1.32,eV,Reflection,1
555,Ga2Te3,1.08,eV,Absorption,2
556,Ga1Te1,1.52,eV,,2
557,Ga1Te1,1.74,eV,,2
558,Ga1Te1,1.74,eV,Reflection,2
559,Ga2Te3,1.33,eV,Absorption,2
560,Ga2Te3,1.5,eV,Thermal activation,2
561,Ga1Te1,1.5,eV,Photoconduction,2
562,Ga1Te1,1.63,eV,Reflection,2
563,Ga1Te1,1.67,eV,Absorption,2
564,Ga1Te1,1.7,eV,,2
565,Ga2Te3,1.45,eV,Thermal activation,2
566,Ga1Bi1,0.1,eV,Estimated,1
567,Ge1O2,5.56,eV,Reflection,1
568,Ge1O2,5.54,eV,Absorption,2
569,Ge1O2,5.63,eV,Reflection,2
570,Ge1O2,6.0,eV,Absorption,2
571,Ge0.9355Si0.0645,1.042,eV,Electroreflection,2
572,Ge0.93Si0.07,1.042,eV,Electroreflection,2
573,Ge0.891Si0.109,1.126,eV,Electroreflection,2
574,Ge0.838Si0.162,1.319,eV,Electroreflection,2
575,Ge0.774Si0.226,1.5030000000000001,eV,Electroreflection,2
576,Ge0.653Si0.347,1.9140000000000001,eV,Electroreflection,2
577,Ge0.542Si0.458,2.238,eV,Electroreflection,2
578,Ge1S1,1.58,eV,Thermal activation,1
579,Ge1S2,3.54,eV,Absorption,1
580,Ge1S1,1.69,eV,Absorption,2
581,Ge1S1,1.77,eV,Absorption,2
582,Ge1S1,1.59,eV,Absorption,2
583,Ge1S1,1.68,eV,Absorption,2
584,Ge1S2,3.71,eV,Absorption,2
585,Ge,0.665,eV,Absorption,1
586,Ge,0.005,eV,Magnetoabsorption,1
587,Ge,0.7440000000000001,eV,Magnetoabsorption,2
588,Ge,0.7709999999999999,eV,Magnetoabsorption,2
589,Ge,0.735,eV,Absorption,2
590,Ge,0.889,eV,Magnetoabsorption,2
591,Ge,0.88,eV,Absorption,2
592,Ge,0.799,eV,Absorption,2
593,Ge,0.882,eV,Absorption,2
594,Ge,0.88,eV,Absorption,2
595,Ge1As1,0.65,eV,Absorption,1
596,Ge1As2,1.0,eV,Absorption,1
597,Ge1As2,1.45,eV,Absorption,1
598,Ge1As1,1.45,eV,Absorption,1
599,Ge1Se1,1.1,eV,Absorption,1
600,Ge1Se1,1.53,eV,Absorption,1
601,Ge1Se2,2.38,eV,Absorption,1
602,Ge1Se2,2.485,eV,Absorption,1
603,Ge1Se2,2.69,eV,Absorption,2
604,Ge1Se1,1.0,eV,Thermal activation,2
605,Ge1Se1,1.17,eV,Photoconduction,2
