chemicalFormula Clean,Band gap values Clean,Band gap units,index,Reliability
Ir1S2,0.9,eV,1234,1
Ir1Se2,1,eV,1235,1
Pt1O2,0.2,eV,1236,1
Pt1P2,0.8,eV,1237,1
Pt1S1,0.8,eV,1239,1
Pt1S2,0.75,eV,1240,1
Pt1As2,0.55,eV,1241,1
Pt1Se2,0.1,eV,1243,1
Pt1Sb2,0.11,eV,1244,1
Hg1O1,2.48,eV,1250,1
Hg1S1,1.269,eV,1254,1
Hg2Cl2,3.5,eV,1261,1
Hg1Se1,0.24,eV,1265,1
Hg2Br2,2.6,eV,1269,1
Hg1Br2,3.59,eV,1270,1
Hg1Te1,0.175,eV,1271,1
Hg1I2,2.13,eV,1277,1
Tl1N3,3.58,eV,1291,1
Tl2O3,1.825,eV,1292,1
Tl1S1,1.36,eV,1294,1
Tl1Cl1,3.56,eV,1298,1
Tl1Se1,0.73,eV,1302,1
Tl1Br1,3.05,eV,1309,1
Tl2Te3,0.7,eV,1313,1
Tl2Te1,0.5,eV,1314,1
Tl1I1,2.67,eV,1318,1
Pb1N6,3.02,eV,1320,1
Pb1O1,2.512,eV,1322,1
Pb2O3,1.67,eV,1325,1
Pb1O2,1.85,eV,1326,1
Pb3O4,2.12,eV,1328,1
Pb1S1,0.41,eV,1342,1
Pb1Cl2,3.82,eV,1352,1
Pb1Se1,0.27,eV,1355,1
Pb1Br2,3.2,eV,1367,1
Pb1Te1,0.31,eV,1371,1
Pb1I2,2.32,eV,1385,1
Bi2O3,2.755,eV,1391,1
Bi2S3,1.2,eV,1401,1
Bi2Se3,0.21,eV,1406,1
Bi1Br3,2.66,eV,1411,1
Bi2Te3,0.145,eV,1428,1
Bi1I3,1.9625,eV,1437,1
Bi,0.015,eV,1445,1
Th1O2,4.625,eV,1448,1
UO,1.5,eV,1455,1
U1O2,2.18,eV,1456,1
